Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
62,Kalimantan Tengah,GKP Tingkat Petani,2022,April,
64,Kalimantan Timur,GKP Tingkat Petani,2022,April,
18,Lampung,GKP Tingkat Petani,2022,April,"5,71%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,April,"3,05%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,April,"0,00%"
14,Riau,GKP Tingkat Petani,2022,April,
76,Sulawesi Barat,GKP Tingkat Petani,2022,April,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,April,"4,23%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,April,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,April,"4,19%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,April,
13,Sumatera Barat,GKP Tingkat Petani,2022,April,"13,05%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,April,"2,71%"
12,Sumatera Utara,GKP Tingkat Petani,2022,April,"7,22%"
11,Aceh,GKP Tingkat Petani,2022,Mei,"3,42%"
51,Bali,GKP Tingkat Petani,2022,Mei,"4,04%"
36,Banten,GKP Tingkat Petani,2022,Mei,"3,55%"
17,Bengkulu,GKP Tingkat Petani,2022,Mei,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Mei,"2,16%"
75,Gorontalo,GKP Tingkat Petani,2022,Mei,
15,Jambi,GKP Tingkat Petani,2022,Mei,"4,17%"
32,Jawa Barat,GKP Tingkat Petani,2022,Mei,"5,63%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Mei,"7,59%"
35,Jawa Timur,GKP Tingkat Petani,2022,Mei,"8,80%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Mei,
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Mei,"19,13%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Mei,
64,Kalimantan Timur,GKP Tingkat Petani,2022,Mei,
18,Lampung,GKP Tingkat Petani,2022,Mei,"4,12%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Mei,"3,16%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Mei,"0,00%"
14,Riau,GKP Tingkat Petani,2022,Mei,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Mei,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Mei,"4,39%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Mei,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Mei,"4,33%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Mei,
13,Sumatera Barat,GKP Tingkat Petani,2022,Mei,"10,70%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Mei,"3,25%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Mei,"7,05%"
11,Aceh,GKP Tingkat Petani,2022,Juni,"3,70%"
51,Bali,GKP Tingkat Petani,2022,Juni,"5,34%"
36,Banten,GKP Tingkat Petani,2022,Juni,"1,47%"
17,Bengkulu,GKP Tingkat Petani,2022,Juni,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Juni,"2,93%"
75,Gorontalo,GKP Tingkat Petani,2022,Juni,
15,Jambi,GKP Tingkat Petani,2022,Juni,"5,87%"
32,Jawa Barat,GKP Tingkat Petani,2022,Juni,"4,69%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Juni,"8,10%"
35,Jawa Timur,GKP Tingkat Petani,2022,Juni,"9,69%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Juni,"0,91%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Juni,"19,04%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Juni,
64,Kalimantan Timur,GKP Tingkat Petani,2022,Juni,
18,Lampung,GKP Tingkat Petani,2022,Juni,"4,29%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Juni,"3,20%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Juni,"0,00%"
14,Riau,GKP Tingkat Petani,2022,Juni,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Juni,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Juni,"2,13%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Juni,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Juni,"3,32%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Juni,
13,Sumatera Barat,GKP Tingkat Petani,2022,Juni,"8,55%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Juni,"1,83%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Juni,"8,51%"
11,Aceh,GKP Tingkat Petani,2022,Juli,"5,52%"
51,Bali,GKP Tingkat Petani,2022,Juli,"8,41%"
36,Banten,GKP Tingkat Petani,2022,Juli,"4,89%"
